GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1421.2028,-10829.3534,-4039.2242,116.14478832,-12250.556199999999,-3923.0794116800002,-16173.63561168
1,-1412.2575,-10849.1049,-4050.4076,116.17931808,-12261.3624,-3934.22828192,-16195.59068192
2,-1436.917,-10870.6568,-4039.3497,113.65553376,-12307.5738,-3925.6941662400004,-16233.26796624
3,-1442.4133,-10818.0803,-4058.6796,112.465926,-12260.4936,-3946.213674,-16206.707273999999

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,0.8214,-18.8884,-32.5853,3.6721079999999997,-18.067,-28.913191999999995,-46.980191999999995
1,-1.5594,-19.8105,-30.3911,3.6890172000000003,-21.3699,-26.7020828,-48.0719828
2,0.0853,-20.1691,-30.5315,3.6608723999999997,-20.0838,-26.870627600000002,-46.9544276
3,0.5189,-18.5167,-32.0019,3.66965064,-17.9978,-28.33224936,-46.330049360000004

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1378.1227,-10778.8112,-4057.7266,117.65574000000001,-12156.9339,-3940.07086,-16097.00476
1,-1370.5242,-10801.1401,-4067.5659,117.96121511999999,-12171.6643,-3949.60468488,-16121.26898488
2,-1388.476,-10822.3406,-4058.3281,115.93746792,-12210.8166,-3942.39063208,-16153.207232080002
3,-1397.1987,-10765.1719,-4080.2955,114.95686751999999,-12162.370599999998,-3965.3386324800003,-16127.709232479998

DELTA Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-43.90150000000017,-31.653800000000047,51.08770000000004,-5.1830596799999995,-75.55529999999999,45.904640319999544,-29.65065967999908
1,-40.173899999999776,-28.15430000000015,47.54939999999988,-5.470914239999985,-68.32819999999992,42.07848576000015,-26.249714240000685
2,-48.526299999999765,-28.147100000001956,49.509900000000016,-5.942806560000008,-76.67339999999967,43.56709343999955,-33.10630655999921
3,-45.73350000000005,-34.39170000000013,53.61780000000044,-6.160592159999993,-80.12520000000222,47.45720784000014,-32.66799216000072


POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1421.2028,-10829.3534,-3847.6363,1946.1733,-1355.399,-12250.556199999999,-3256.862,-15507.418199999998
1,-1412.2575,-10849.1049,-3855.8713,1949.5045,-1360.9703,-12261.3624,-3267.3370999999997,-15528.699500000002
2,-1436.917,-10870.6568,-3864.8613,1933.1323,-1352.3797,-12307.5738,-3284.1086999999998,-15591.6825
3,-1442.4133,-10818.0803,-3843.1095,1931.0344,-1331.0022,-12260.4936,-3243.0773,-15503.570899999999

Receptor Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,0.8214,-18.8884,-31.2079,41.9652,-40.4926,-18.067,-29.7353,-47.8023
1,-1.5594,-19.8105,-28.5783,42.0078,-40.1957,-21.3699,-26.766199999999998,-48.1361
2,0.0853,-20.1691,-28.7591,42.0692,-40.4882,-20.0838,-27.178099999999997,-47.2619
3,0.5189,-18.5167,-30.6476,41.7857,-41.0254,-17.9978,-29.8873,-47.8851

Ligand Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
0,-1378.1227,-10778.8112,-3878.2224,1933.7419,-1367.2246,-12156.9339,-3311.7051,-15468.639000000001
1,-1370.5242,-10801.1401,-3878.0669,1938.4952,-1372.2555,-12171.6643,-3311.8271999999997,-15483.4915
2,-1388.476,-10822.3406,-3888.1309,1925.6905,-1367.2163,-12210.8166,-3329.6567000000005,-15540.4733
3,-1397.1987,-10765.1719,-3874.8258,1923.1484,-1347.3664,-12162.370599999998,-3299.0438000000004,-15461.4144

DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-43.90150000000017,-31.653800000000047,61.79399999999987,-29.533800000000156,52.31820000000016,-75.55529999999999,84.57839999999987,9.02310000000216
1,-40.173899999999776,-28.15430000000015,50.77390000000014,-30.99850000000015,51.48090000000002,-68.32819999999992,71.25630000000001,2.9280999999973574
2,-48.526299999999765,-28.147100000001956,52.0287000000003,-34.62739999999985,55.324800000000096,-76.67339999999967,72.72610000000077,-3.9473000000016327
3,-45.73350000000005,-34.39170000000013,62.36389999999983,-33.89969999999994,57.3896000000002,-80.12520000000222,85.85380000000032,5.72860000000037


