#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
2.0%,499,-1616872.056797891,33.9328166225573,991.6843389140147,0,--
4.0%,998,-1611123.8944698842,46.13505611541976,991.6843389140147,87.2,0:47
6.0%,1497,-1611473.4872736493,49.887244010810406,991.6843389140147,87.4,0:46
8.0%,1996,-1613130.990834427,50.99912307411878,991.6843389140147,87.2,0:45
10.0%,2495,-1615109.3788961722,50.764015814113456,991.6843389140147,87.5,0:44
12.0%,2994,-1617047.3213960826,50.91009853833492,991.6843389140147,87.7,0:43
14.0%,3493,-1618723.4054499203,51.02439407988227,991.6843389140147,87.8,0:42
16.0%,3992,-1592512.7578863772,78.88023880264511,991.6843389140147,87.8,0:41
18.0%,4491,-1579884.9969543014,92.31024786612625,991.6843389140147,87.8,0:40
20.0%,4990,-1575734.127705397,97.56047706577935,991.6843389140147,87.7,0:39
22.0%,5489,-1575376.0409881445,99.6066838660788,991.6843389140147,87.7,0:38
24.0%,5988,-1577033.377076814,100.74227390020398,991.6843389140147,87.7,0:37
25.9%,6487,-1578221.9190861406,100.58245766351936,991.6843389140147,87.6,0:36
27.9%,6986,-1579498.854625307,100.37367008402168,991.6843389140147,87.7,0:35
29.9%,7485,-1555234.8843542924,123.95078081394335,991.6843389140147,87.8,0:34
31.9%,7984,-1537804.3707076842,139.8839290526405,991.6843389140147,87.8,0:33
33.9%,8483,-1531717.5467364443,146.08312292011118,991.6843389140147,87.8,0:32
35.9%,8982,-1530819.3099313332,148.36027703165752,991.6843389140147,87.9,0:31
37.9%,9481,-1531115.648587956,149.44016749455528,991.6843389140147,87.9,0:30
39.9%,9980,-1532220.2993731173,150.38580207000803,991.6843389140147,87.8,0:29
41.9%,10479,-1534022.4025729354,149.54469206900959,991.6843389140147,87.8,0:28
43.9%,10978,-1513175.7739665462,168.82404338701565,991.6843389140147,87.8,0:27
45.9%,11477,-1491442.1092878878,186.52201014026534,991.6843389140147,87.6,0:26
47.9%,11976,-1481240.6451550266,193.31772991031087,991.6843389140147,87.5,0:25
49.9%,12475,-1477585.481553779,197.4124012619433,991.6843389140147,87.2,0:24
51.9%,12974,-1474679.7644175654,197.63876705307962,991.6843389140147,86.9,0:23
53.9%,13473,-1473922.6529345615,199.44255297192078,991.6843389140147,86.6,0:22
55.9%,13972,-1472723.4689522525,200.1813617264191,991.6843389140147,86.4,0:22
57.9%,14471,-1456192.7912476351,213.39689753974255,991.6843389140147,86.1,0:21
59.9%,14970,-1426556.440289692,233.40517458190638,991.6843389140147,85.9,0:20
61.9%,15469,-1408797.2260945588,240.9869742013141,991.6843389140147,85.6,0:19
63.9%,15968,-1398880.8899584617,243.77382469871245,991.6843389140147,85.4,0:18
65.9%,16467,-1392809.5572224064,245.6240944504817,991.6843389140147,85.1,0:17
67.9%,16966,-1387710.1138805375,247.06592964596786,991.6843389140147,84.7,0:16
69.9%,17465,-1382340.1084831068,248.4015782734065,991.6843389140147,84.3,0:15
71.9%,17964,-1370087.613582152,256.8070792018213,991.6843389140147,83.9,0:14
73.9%,18463,-1331983.6909907507,279.04206092261353,991.6843389140147,83.6,0:13
75.9%,18962,-1312904.56492884,289.15662044066835,991.6843389140147,83.2,0:12
77.8%,19461,-1299688.5544109074,293.8417015333688,991.6843389140147,82.9,0:11
79.8%,19960,-1292795.391222694,295.0678981677293,991.6843389140147,82.6,0:10
81.8%,20459,-1288615.3559627058,297.59944234199753,991.6843389140147,82.3,0:09
83.8%,20958,-1289266.684192188,299.40454094857495,991.6843389140147,82,0:08
85.8%,21457,-1285858.1390910493,298.6481166962074,991.6843389140147,81.6,0:07
87.8%,21956,-1285143.3727968726,300.0675881414467,991.6843389140147,81.3,0:06
89.8%,22455,-1285899.651224155,299.96193900795174,991.6843389140147,81,0:05
91.8%,22954,-1283952.4812081438,300.49318584304683,991.6843389140147,80.7,0:04
93.8%,23453,-1281257.092913243,297.5793575896547,991.6843389140147,80.4,0:03
95.8%,23952,-1284632.4842967456,299.4433322055472,991.6843389140147,80.1,0:02
97.8%,24451,-1283426.0110842986,298.89137007540745,991.6843389140147,79.8,0:01
99.8%,24950,-1284753.6531219622,301.10654226532534,991.6843389140147,79.6,0:00
