#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
50.9%,25449,-1285116.4622775065,301.7233028338996,991.6843389140147,0,--
51.9%,25948,-1282330.963200895,302.10913597981323,991.6843389140147,75,0:55
52.9%,26447,-1282306.6712253345,300.91536823372667,991.6843389140147,72.7,0:55
53.9%,26946,-1281822.7253795005,300.9577559003603,991.6843389140147,72,0:55
54.9%,27445,-1283871.8922134629,301.6655237335195,991.6843389140147,71.1,0:54
55.9%,27944,-1282848.5138989938,301.3062974864402,991.6843389140147,70.1,0:54
56.9%,28443,-1284069.1295615183,299.493002113434,991.6843389140147,69.4,0:53
57.9%,28942,-1283743.7226510001,300.92485489127534,991.6843389140147,68.9,0:52
58.9%,29441,-1281936.4696038878,300.702927092894,991.6843389140147,68.6,0:51
59.9%,29940,-1281393.8385880878,300.8416154379225,991.6843389140147,68.3,0:50
60.9%,30439,-1281915.1256105108,299.8390001414621,991.6843389140147,68.1,0:49
61.9%,30938,-1281645.48623846,300.864709666857,991.6843389140147,67.9,0:48
62.9%,31437,-1282360.7669684207,300.99059141100554,991.6843389140147,67.8,0:47
63.9%,31936,-1282494.3551911758,302.0695043347568,991.6843389140147,67.6,0:46
64.9%,32435,-1283807.6204421474,300.0862693669617,991.6843389140147,67.5,0:44
65.9%,32934,-1283309.365974064,300.6208655455431,991.6843389140147,67.4,0:43
66.9%,33433,-1282943.0264044767,302.28018672597483,991.6843389140147,67.3,0:42
67.9%,33932,-1282601.408471427,302.1724987257786,991.6843389140147,67.3,0:41
68.9%,34431,-1284800.2225026088,303.2555915902836,991.6843389140147,67.2,0:40
69.9%,34930,-1284160.797977536,302.8053166209474,991.6843389140147,67.2,0:38
70.9%,35429,-1284285.7473320626,299.7539567489413,991.6843389140147,67.1,0:37
71.9%,35928,-1283993.2537733288,300.59915005866054,991.6843389140147,67.1,0:36
72.9%,36427,-1284002.153225354,301.35980882524285,991.6843389140147,67,0:34
73.9%,36926,-1283422.9423721014,300.4457541939761,991.6843389140147,67,0:33
74.9%,37425,-1284428.252298274,302.2799352893458,991.6843389140147,66.9,0:32
75.9%,37924,-1284244.158303271,300.20501803496717,991.6843389140147,66.9,0:31
76.9%,38423,-1282460.4899967825,299.4037569432815,991.6843389140147,66.9,0:29
77.9%,38922,-1282802.3554389356,299.74526372537895,991.6843389140147,66.7,0:28
78.8%,39421,-1283963.119935641,300.77924071712823,991.6843389140147,66.5,0:27
79.8%,39920,-1283307.5195089616,301.23919751021697,991.6843389140147,66.2,0:26
80.8%,40419,-1284007.249777481,303.16946714567183,991.6843389140147,66,0:25
81.8%,40918,-1282851.380417075,301.74375467333437,991.6843389140147,65.8,0:23
82.8%,41417,-1283513.835342641,302.0075503397566,991.6843389140147,65.7,0:22
83.8%,41916,-1283072.8814232247,301.39812615471686,991.6843389140147,65.5,0:21
84.8%,42415,-1284082.0433828654,301.94143861441944,991.6843389140147,65.3,0:20
85.8%,42914,-1284430.3462224407,302.01476112809155,991.6843389140147,65.2,0:18
86.8%,43413,-1283772.7424190901,301.9038988887188,991.6843389140147,65.1,0:17
87.8%,43912,-1283313.3774944237,301.13404898972715,991.6843389140147,64.9,0:16
88.8%,44411,-1284349.2148979073,302.2752066336167,991.6843389140147,64.8,0:14
89.8%,44910,-1285134.0027540112,301.83419338898,991.6843389140147,64.7,0:13
90.8%,45409,-1284956.8472258328,300.04481962369954,991.6843389140147,64.6,0:12
91.8%,45908,-1284842.964933929,301.4260269769788,991.6843389140147,64.5,0:10
92.8%,46407,-1283369.1311197737,301.28550330645794,991.6843389140147,64.4,0:09
93.8%,46906,-1283942.1619478427,303.13716519207395,991.6843389140147,64.3,0:08
94.8%,47405,-1282803.531971993,301.38403961691046,991.6843389140147,64.2,0:06
95.8%,47904,-1284220.615244179,303.07377568238564,991.6843389140147,64.1,0:05
96.8%,48403,-1283691.8393646842,301.23250665171764,991.6843389140147,64,0:04
97.8%,48902,-1284119.7811410893,301.10980952167904,991.6843389140147,63.9,0:02
98.8%,49401,-1284635.9598637698,302.14247565290276,991.6843389140147,63.8,0:01
99.8%,49900,-1283253.8816086398,300.8532258839612,991.6843389140147,63.8,0:00
