#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)","Time Remaining"
9.5%,52479,-1284057.774292415,301.5405765456758,991.6843389140147,0,--
10.0%,54978,-1284332.143190709,300.484033543102,991.6843389140147,64.1,22:14
10.5%,57477,-1285165.9657043777,301.34624339817447,991.6843389140147,62.2,22:49
10.9%,59976,-1285170.4162200326,301.5275746241585,991.6843389140147,61,23:07
11.4%,62475,-1282778.1048384188,300.45861943398586,991.6843389140147,57.8,24:16
11.8%,64974,-1284791.4701463068,301.93359875725656,991.6843389140147,58.2,24:00
12.3%,67473,-1284082.3308668984,301.32657191182204,991.6843389140147,58,23:58
12.7%,69972,-1281850.7831299966,301.09328720186664,991.6843389140147,58.3,23:43
13.2%,72471,-1282982.1710452158,300.8373072001204,991.6843389140147,57.9,23:44
13.6%,74970,-1284107.3799704267,301.5014667813907,991.6843389140147,58,23:35
14.1%,77469,-1285002.5732087996,301.0440207466913,991.6843389140147,57.7,23:35
14.5%,79968,-1285081.9540465,299.7912645615397,991.6843389140147,57.7,23:26
15.0%,82467,-1283843.397244202,300.22513740757813,991.6843389140147,57.4,23:27
15.4%,84966,-1284297.368847601,300.7562487734537,991.6843389140147,57.4,23:19
15.9%,87465,-1283700.790739064,300.4281319779858,991.6843389140147,57.2,23:18
16.4%,89964,-1283785.6117737656,302.4144879242528,991.6843389140147,57.3,23:07
16.8%,92463,-1283546.9413523506,301.06944300050174,991.6843389140147,57.2,23:01
17.3%,94962,-1282137.9856195236,300.93586759343725,991.6843389140147,57.3,22:51
17.7%,97461,-1283676.9471532525,301.94812688056305,991.6843389140147,57,22:50
18.2%,99960,-1285399.4633360524,301.2590360966047,991.6843389140147,57.2,22:39
18.6%,102459,-1284434.8061474944,301.6261653206789,991.6843389140147,57.2,22:32
19.1%,104958,-1284188.196283142,301.57277468510574,991.6843389140147,57.3,22:22
19.5%,107457,-1285306.8794899816,300.8165462015581,991.6843389140147,57.2,22:17
20.0%,109956,-1283822.403899137,300.78182901458547,991.6843389140147,57.2,22:09
20.4%,112455,-1281416.1952026552,300.85991354919406,991.6843389140147,57.2,22:01
20.9%,114954,-1285451.978826305,300.3781311749685,991.6843389140147,57.3,21:52
21.4%,117453,-1283801.098805503,303.10741577682984,991.6843389140147,57.2,21:46
21.8%,119952,-1284889.3591160262,301.02334221069447,991.6843389140147,57.3,21:37
22.3%,122451,-1283938.3058231706,297.55664079400515,991.6843389140147,57.2,21:32
22.7%,124950,-1283274.7478519445,299.90028986749553,991.6843389140147,57.2,21:23
23.2%,127449,-1282170.5999684567,300.8248486760952,991.6843389140147,57.2,21:16
23.6%,129948,-1285284.0137437368,301.1134838009781,991.6843389140147,57.3,21:07
24.1%,132447,-1283211.4892579913,300.01317238882064,991.6843389140147,57.2,21:00
24.5%,134946,-1282342.6719987197,299.9772311324388,991.6843389140147,57.3,20:51
25.0%,137445,-1283901.3223296553,301.3930805969983,991.6843389140147,57.2,20:46
25.4%,139944,-1283684.2928306777,299.8701625061003,991.6843389140147,57.3,20:37
25.9%,142443,-1285077.050035147,301.30835608848696,991.6843389140147,57.2,20:30
26.4%,144942,-1284346.8898048596,299.6624058196583,991.6843389140147,57.3,20:22
26.8%,147441,-1286030.2274708804,299.4120260681735,991.6843389140147,57.2,20:15
27.3%,149940,-1281544.4107950842,301.92250901855937,991.6843389140147,57.3,20:07
27.7%,152439,-1284619.8410005728,299.85376789574565,991.6843389140147,57.2,20:01
28.2%,154938,-1284617.130676927,300.2934051691738,991.6843389140147,57.2,19:52
28.6%,157437,-1284729.2521235095,301.98036142961075,991.6843389140147,57.2,19:45
29.1%,159936,-1284317.3105050651,301.21190022525246,991.6843389140147,57.3,19:36
29.5%,162435,-1285671.8409131942,300.974877901501,991.6843389140147,57.3,19:29
30.0%,164934,-1285326.4363212911,301.57639454651866,991.6843389140147,57.3,19:21
30.4%,167433,-1282123.6067628665,301.8339614718656,991.6843389140147,57.3,19:14
30.9%,169932,-1283296.2279717391,301.34994836709734,991.6843389140147,57.3,19:05
31.4%,172431,-1282027.4524660027,300.5839480683368,991.6843389140147,57.3,18:58
31.8%,174930,-1286926.7682490824,300.7430177409673,991.6843389140147,57.3,18:50
